gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif
55853,2013,2,NYJ,0.375,0.375,NE,0.75,0.75,1,1-0-0,1.0,0.0,1-0-0,1.0,0.0,win,0.6000000000000001,2.0,2.0,2.0,14.125,1.0,1.0,1.0,-5.875,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.3125,-1.0,-1.0,-1.0,1.5625,-1.0,-1.0,-1.0,-0.875
55854,2013,2,STL,0.469,0.43799999999999994,ATL,0.813,0.875,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.0,-6.0,-6.0,-6.0,7.5,3.0,3.0,3.0,-3.0625,2.0,2.0,2.0,1.125,2.0,2.0,2.0,1.375,-1.0,-1.0,-1.0,0.8125,0.0,0.0,0.0,-0.0625
55855,2013,2,CLE,0.313,0.125,BAL,0.625,0.75,1,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,0.6000000000000001,-22.0,-22.0,-22.0,3.375,-13.0,-13.0,-13.0,-4.125,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.625,0.0,0.0,0.0,0.5625,-2.0,-2.0,-2.0,0.1875
55856,2013,2,CAR,0.43799999999999994,0.5,BUF,0.375,0.5,0,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,0.0,-2.0,-2.0,-2.0,-5.6875,-5.0,-5.0,-5.0,-0.375,2.0,2.0,2.0,2.125,2.0,2.0,2.0,1.3125,1.0,1.0,1.0,-0.8125,-1.0,-1.0,-1.0,0.125
55857,2013,2,MIN,0.625,0.375,CHI,0.625,0.625,1,0-1-0,0.0,0.0,1-0-0,1.0,1.0,win,0.2,3.0,3.0,3.0,6.125,-10.0,-10.0,-10.0,1.9375,1.0,1.0,1.0,1.5,4.0,4.0,4.0,1.4375,2.0,2.0,2.0,1.25,-2.0,-2.0,-2.0,-0.0625
55858,2013,2,WAS,0.625,0.625,GB,0.688,0.875,0,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,0.0,-6.0,-6.0,-6.0,6.0625,-6.0,-6.0,-6.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,0.875,-2.0,-2.0,-2.0,0.4375,-1.0,-1.0,-1.0,1.0625
55859,2013,2,TEN,0.375,0.25,HOU,0.75,0.75,1,1-0-0,1.0,1.0,1-0-0,1.0,0.0,win,0.2,3.0,3.0,3.0,5.3125,7.0,7.0,7.0,-8.8125,1.0,1.0,1.0,1.0625,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.75,2.0,2.0,2.0,-0.25
55860,2013,2,MIA,0.43799999999999994,0.25,IND,0.688,0.875,0,1-0-0,1.0,1.0,1-0-0,1.0,1.0,loss,1.0,4.0,4.0,4.0,-1.875,13.0,13.0,13.0,-1.8125,0.0,0.0,0.0,1.6875,1.0,1.0,1.0,1.625,2.0,2.0,2.0,-0.75,2.0,2.0,2.0,-0.625
55861,2013,2,DAL,0.5,0.5,KC,0.125,0.125,0,1-0-0,1.0,0.0,1-0-0,1.0,0.0,win,0.0,26.0,26.0,26.0,-13.375,5.0,5.0,5.0,-1.5,0.0,0.0,0.0,2.3125,1.0,1.0,1.0,1.8125,2.0,2.0,2.0,-1.5,5.0,5.0,5.0,-0.8125
55862,2013,2,SD,0.43799999999999994,0.5,PHI,0.25,0.25,0,0-1-0,0.0,0.0,1-0-0,1.0,0.0,loss,0.0,6.0,6.0,6.0,-10.25,-3.0,-3.0,-3.0,0.0,2.0,2.0,2.0,2.3125,1.0,1.0,1.0,1.625,1.0,1.0,1.0,-1.5,0.0,0.0,0.0,0.125
55863,2013,2,DET,0.25,0.25,ARI,0.313,0.5,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,1.0,-3.0,-3.0,-3.0,-6.6875,10.0,10.0,10.0,-4.0625,2.0,2.0,2.0,2.125,2.0,2.0,2.0,2.0625,0.0,0.0,0.0,-0.0625,2.0,2.0,2.0,-1.0
55864,2013,2,NO,0.43799999999999994,0.375,TB,0.43799999999999994,0.375,1,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,-0.6000000000000001,-1.0,-1.0,-1.0,-0.3125,6.0,6.0,6.0,0.4375,1.0,1.0,1.0,1.4375,1.0,1.0,1.0,1.5,1.0,1.0,1.0,0.1875,1.0,1.0,1.0,0.125
55865,2013,2,DEN,0.813,0.75,NYG,0.563,0.75,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.0,-5.0,-5.0,-5.0,5.3125,22.0,22.0,22.0,12.0,6.0,6.0,6.0,1.3125,2.0,2.0,2.0,1.5625,-5.0,-5.0,-5.0,0.875,0.0,0.0,0.0,-0.0625
55866,2013,2,JAC,0.125,0.125,OAK,0.25,0.375,0,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,1.0,-4.0,-4.0,-4.0,-9.5625,-26.0,-26.0,-26.0,-11.8125,2.0,2.0,2.0,1.625,2.0,2.0,2.0,1.5625,-2.0,-2.0,-2.0,-0.5,-2.0,-2.0,-2.0,-0.125
55867,2013,2,SF,0.7190000000000001,0.625,SEA,0.688,1.0,1,1-0-0,1.0,0.0,1-0-0,1.0,0.0,win,-0.33399999999999996,5.0,5.0,5.0,10.4375,6.0,6.0,6.0,7.75,1.0,1.0,1.0,1.125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,2.0,2.0,2.0,0.5625
55868,2013,2,PIT,0.5,0.375,CIN,0.625,0.5,1,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,-0.6000000000000001,-3.0,-3.0,-3.0,4.4375,-7.0,-7.0,-7.0,1.375,3.0,3.0,3.0,1.625,2.0,2.0,2.0,1.875,-2.0,-2.0,-2.0,0.25,-2.0,-2.0,-2.0,-0.625
55869,2013,3,KC,0.125,0.125,PHI,0.25,0.25,0,2-0-0,1.0,1.0,1-1-0,0.5,0.0,loss,0.0,1.5,1.5,1.5,-10.25,13.5,13.5,13.5,-13.375,1.5,1.5,1.5,2.3125,0.0,0.0,0.0,2.3125,1.0,1.0,1.0,-1.5,2.0,2.0,2.0,-1.5
55870,2013,3,HOU,0.75,0.75,BAL,0.625,0.75,0,2-0-0,1.0,1.0,1-1-0,0.5,1.0,win,0.33399999999999996,-7.0,-7.0,-7.0,3.375,4.5,4.5,4.5,5.3125,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.0625,-0.5,-0.5,-0.5,0.5625,-1.0,-1.0,-1.0,0.75
55871,2013,3,GB,0.688,0.5,CIN,0.625,0.5,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,win,0.0,3.5,3.5,3.5,4.4375,6.0,6.0,6.0,6.0625,1.5,1.5,1.5,1.625,1.5,1.5,1.5,1.0,0.0,0.0,0.0,0.25,-1.0,-1.0,-1.0,0.4375
55873,2013,3,STL,0.469,0.43799999999999994,DAL,0.5,0.5,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,win,1.0,2.0,2.0,2.0,-1.5,-2.0,-2.0,-2.0,-3.0625,1.5,1.5,1.5,1.8125,1.5,1.5,1.5,1.375,1.5,1.5,1.5,-0.8125,-0.5,-0.5,-0.5,-0.0625
55879,2013,3,ATL,0.813,0.75,MIA,0.43799999999999994,0.625,0,1-1-0,0.5,0.0,2-0-0,1.0,0.0,win,0.0,8.5,8.5,8.5,-1.8125,0.5,0.5,0.5,7.5,1.0,1.0,1.0,1.625,1.0,1.0,1.0,1.125,1.0,1.0,1.0,-0.625,0.0,0.0,0.0,0.8125
55874,2013,3,CLE,0.313,0.125,MIN,0.625,0.875,0,0-2-0,0.0,0.0,0-2-0,0.0,0.0,loss,0.0,-5.5,-5.5,-5.5,1.9375,-10.5,-10.5,-10.5,-4.125,3.5,3.5,3.5,1.4375,1.5,1.5,1.5,1.625,-0.5,-0.5,-0.5,-0.0625,-0.5,-0.5,-0.5,0.1875
55880,2013,3,BUF,0.375,0.25,NYJ,0.375,0.375,1,1-1-0,0.5,0.0,1-1-0,0.5,1.0,win,0.2,-1.0,-1.0,-1.0,-5.875,-0.5,-0.5,-0.5,-5.6875,3.0,3.0,3.0,2.3125,2.0,2.0,2.0,2.125,-2.5,-2.5,-2.5,-0.875,0.0,0.0,0.0,-0.8125
55875,2013,3,TB,0.43799999999999994,0.5,NE,0.75,0.75,0,0-2-0,0.0,0.0,2-0-0,1.0,1.0,win,0.0,2.5,2.5,2.5,14.125,-1.5,-1.5,-1.5,-0.3125,1.5,1.5,1.5,1.0,1.5,1.5,1.5,1.4375,1.5,1.5,1.5,1.5625,0.5,0.5,0.5,0.1875
55876,2013,3,ARI,0.313,0.125,NO,0.43799999999999994,0.5,0,1-1-0,0.5,0.0,2-0-0,1.0,1.0,win,0.0,4.0,4.0,4.0,0.4375,0.5,0.5,0.5,-6.6875,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.125,0.5,0.5,0.5,0.125,0.0,0.0,0.0,-0.0625
55877,2013,3,SD,0.43799999999999994,0.5,TEN,0.375,0.5,0,1-1-0,0.5,1.0,1-1-0,0.5,0.0,win,-1.0,0.5,0.5,0.5,-8.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.5,1.5,1.5,1.625,2.0,2.0,2.0,-0.25,-0.5,-0.5,-0.5,0.125
