gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif
55191,2011,2,CIN,0.25,0.125,DEN,0.25,0.375,0,1-0-0,1.0,1.0,0-1-0,0.0,0.0,win,1.0,-3.0,-3.0,-3.0,-7.9375,10.0,10.0,10.0,-4.5625
55192,2011,2,HOU,0.375,0.25,MIA,0.43799999999999994,0.125,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,-1.0,-14.0,-14.0,-14.0,-3.75,27.0,27.0,27.0,-2.3125
55194,2011,2,PHI,0.625,0.75,ATL,0.813,0.875,0,1-0-0,1.0,1.0,0-1-0,0.0,0.0,win,-1.0,-18.0,-18.0,-18.0,7.875,18.0,18.0,18.0,3.875
55195,2011,2,STL,0.43799999999999994,0.25,NYG,0.625,0.625,0,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,0.0,-14.0,-14.0,-14.0,2.9375,-18.0,-18.0,-18.0,-2.4375
55197,2011,3,JAC,0.5,0.375,CAR,0.125,0.25,0,1-1-0,0.5,0.0,0-2-0,0.0,0.0,win,0.0,-7.0,-7.0,-7.0,-13.25,-13.5,-13.5,-13.5,-4.125
55201,2011,3,HOU,0.375,0.25,NO,0.688,0.625,0,2-0-0,1.0,1.0,1-1-0,0.5,1.0,win,0.0,4.5,4.5,4.5,4.8125,18.5,18.5,18.5,-2.3125
55196,2011,3,NE,0.875,0.75,BUF,0.25,0.25,1,2-0-0,1.0,1.0,2-0-0,1.0,1.0,win,-1.0,18.5,18.5,18.5,-8.875,14.0,14.0,14.0,12.8125
55199,2011,3,MIA,0.43799999999999994,0.75,CLE,0.313,0.375,0,0-2-0,0.0,0.0,1-1-0,0.5,0.0,win,1.0,-1.0,-1.0,-1.0,-3.8125,-12.0,-12.0,-12.0,-3.75
55203,2011,3,DEN,0.25,0.125,TEN,0.375,0.375,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,win,-1.0,5.5,5.5,5.5,1.0625,-0.5,-0.5,-0.5,-7.9375
55202,2011,3,NYG,0.625,0.625,PHI,0.625,0.5,1,1-1-0,0.5,0.0,1-1-0,0.5,0.0,loss,1.0,7.0,7.0,7.0,3.875,-1.0,-1.0,-1.0,2.9375
55200,2011,3,DET,0.375,0.25,MIN,0.375,0.5,1,2-0-0,1.0,1.0,0-2-0,0.0,0.0,loss,0.2,-5.5,-5.5,-5.5,-4.1875,26.0,26.0,26.0,-0.4375
55198,2011,3,SF,0.375,0.125,CIN,0.25,0.375,0,1-1-0,0.5,0.0,1-1-0,0.5,0.0,loss,0.0,4.0,4.0,4.0,-4.5625,6.5,6.5,6.5,-2.5625
55204,2011,3,NYJ,0.688,0.75,OAK,0.5,0.625,0,2-0-0,1.0,0.0,1-1-0,0.5,0.0,win,-1.0,0.0,0.0,0.0,2.4375,16.0,16.0,16.0,3.9375
55206,2011,3,KC,0.625,0.375,SD,0.563,0.75,1,0-2-0,0.0,0.0,1-1-0,0.5,1.0,win,0.2,-3.5,-3.5,-3.5,7.4375,-39.5,-39.5,-39.5,2.5
