gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif,home_season_3down_pct,home_3game_3down_pct,home_5game_3down_pct,away_season_3down_pct,away_3game_3down_pct,away_5game_3down_pct
56503,2015,1,PIT,0.688,0.625,NE,0.75,0.875,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,9.6875,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,1.3125,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56505,2015,1,GB,0.75,0.5,CHI,0.313,0.25,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-0.2,0.0,0.0,0.0,-7.6875,0.0,0.0,0.0,8.625,0.0,0.0,0.0,1.8125,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,-0.3125,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0
56509,2015,1,SEA,0.75,0.625,STL,0.375,0.375,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-0.2,0.0,0.0,0.0,-1.875,0.0,0.0,0.0,8.75,0.0,0.0,0.0,1.6875,0.0,0.0,0.0,0.875,0.0,0.0,0.0,-0.125,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0
56507,2015,1,CAR,0.469,0.43799999999999994,JAC,0.188,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-10.1875,0.0,0.0,0.0,-2.1875,0.0,0.0,0.0,1.625,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0
56510,2015,1,MIA,0.5,0.5,WAS,0.25,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-8.5625,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,1.9375,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
56504,2015,1,IND,0.688,0.625,BUF,0.563,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,3.375,0.0,0.0,0.0,5.5625,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,1.9375,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,-0.3125,0.0,0.0,0.0,0.0,0.0,0.0
56508,2015,1,CLE,0.43799999999999994,0.375,NYJ,0.25,0.25,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,-7.375,0.0,0.0,0.0,-2.375,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,-0.6875,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0
56506,2015,1,KC,0.563,0.375,HOU,0.563,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-1.0,0.0,0.0,0.0,4.0625,0.0,0.0,0.0,4.5,0.0,0.0,0.0,1.375,0.0,0.0,0.0,1.0625,0.0,0.0,0.0,0.75,0.0,0.0,0.0,-0.1875,0.0,0.0,0.0,0.0,0.0,0.0
56511,2015,1,NO,0.43799999999999994,0.5,ARI,0.688,0.875,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-1.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,-1.4375,0.0,0.0,0.0,1.0625,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.8125,0.0,0.0,0.0,0.0,0.0,0.0
56512,2015,1,DET,0.688,0.5,SD,0.563,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4375,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,1.25,0.0,0.0,0.0,-0.3125,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0
56513,2015,1,BAL,0.625,0.5,DEN,0.75,1.0,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.6875,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
56514,2015,1,CIN,0.6559999999999999,0.625,OAK,0.188,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-12.4375,0.0,0.0,0.0,1.3125,0.0,0.0,0.0,1.8125,0.0,0.0,0.0,1.625,0.0,0.0,0.0,-0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56515,2015,1,TEN,0.125,0.125,TB,0.125,0.0,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-8.3125,0.0,0.0,0.0,-11.5,0.0,0.0,0.0,2.0625,0.0,0.0,0.0,1.625,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.625,0.0,0.0,0.0,0.0,0.0,0.0
56516,2015,1,NYG,0.375,0.375,DAL,0.75,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.6000000000000001,0.0,0.0,0.0,7.1875,0.0,0.0,0.0,-1.25,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
56517,2015,1,PHI,0.625,0.5,ATL,0.375,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-2.25,0.0,0.0,0.0,4.625,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,2.3125,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,-0.5625,0.0,0.0,0.0,0.0,0.0,0.0
56518,2015,1,MIN,0.43799999999999994,0.25,SF,0.5,0.5,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-2.125,0.0,0.0,0.0,-1.125,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0
56519,2015,2,DEN,0.75,0.5,KC,0.563,0.75,1,1-0-0,1.0,0.0,1-0-0,1.0,0.0,loss,-0.6000000000000001,7.0,7.0,7.0,4.5,6.0,6.0,6.0,8.0,0.0,0.0,0.0,1.0625,1.0,1.0,1.0,1.25,2.0,2.0,2.0,-0.1875,1.0,1.0,1.0,0.3125,0.231,0.231,0.231,0.444,0.444,0.444
56521,2015,2,HOU,0.563,0.5,CAR,0.469,0.5,0,0-1-0,0.0,0.0,1-0-0,1.0,0.0,win,0.0,11.0,11.0,11.0,-2.1875,-7.0,-7.0,-7.0,4.0625,1.0,1.0,1.0,1.4375,2.0,2.0,2.0,1.375,2.0,2.0,2.0,0.1875,-2.0,-2.0,-2.0,0.75,0.47100000000000003,0.47100000000000003,0.47100000000000003,0.214,0.214,0.214
56520,2015,2,NE,0.75,0.625,BUF,0.563,0.625,1,1-0-0,1.0,0.0,1-0-0,1.0,1.0,loss,-0.6000000000000001,13.0,13.0,13.0,3.375,7.0,7.0,7.0,9.6875,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,0.8125,3.0,3.0,3.0,0.4375,1.0,1.0,1.0,0.75,0.385,0.385,0.385,0.636,0.636,0.636
56523,2015,2,SD,0.563,0.5,CIN,0.6559999999999999,0.688,0,1-0-0,1.0,0.0,1-0-0,1.0,0.0,win,0.0,20.0,20.0,20.0,1.3125,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.625,3.0,3.0,3.0,1.4375,2.0,2.0,2.0,0.0,-1.0,-1.0,-1.0,-0.3125,0.308,0.308,0.308,0.545,0.545,0.545
56524,2015,2,TEN,0.125,0.125,CLE,0.43799999999999994,0.5,0,1-0-0,1.0,1.0,0-1-0,0.0,0.0,win,1.0,-21.0,-21.0,-21.0,-2.375,28.0,28.0,28.0,-11.5,5.0,5.0,5.0,1.4375,1.0,1.0,1.0,1.625,-4.0,-4.0,-4.0,0.375,1.0,1.0,1.0,-0.625,0.5,0.5,0.5,0.444,0.444,0.444
56527,2015,2,ATL,0.375,0.375,NYG,0.375,0.375,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,1.0,-1.0,-1.0,-1.0,-1.25,2.0,2.0,2.0,-2.25,0.0,0.0,0.0,1.75,2.0,2.0,2.0,1.4375,3.0,3.0,3.0,-0.0625,0.0,0.0,0.0,0.3125,0.429,0.429,0.429,0.28600000000000003,0.28600000000000003,0.28600000000000003
56529,2015,2,STL,0.375,0.375,WAS,0.25,0.375,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,-1.0,-7.0,-7.0,-7.0,-8.5625,3.0,3.0,3.0,-1.875,2.0,2.0,2.0,1.9375,3.0,3.0,3.0,1.6875,-1.0,-1.0,-1.0,-0.75,-2.0,-2.0,-2.0,-0.125,0.429,0.429,0.429,0.545,0.545,0.545
56522,2015,2,ARI,0.688,0.5,CHI,0.313,0.25,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.0,-8.0,-8.0,-8.0,-7.6875,12.0,12.0,12.0,0.6875,1.0,1.0,1.0,1.8125,1.0,1.0,1.0,1.0625,-1.0,-1.0,-1.0,-0.3125,0.0,0.0,0.0,0.5,0.647,0.647,0.647,0.5,0.5,0.5
56525,2015,2,DET,0.688,0.5,MIN,0.43799999999999994,0.625,1,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,-0.2,-17.0,-17.0,-17.0,-1.125,-5.0,-5.0,-5.0,2.4375,1.0,1.0,1.0,1.25,2.0,2.0,2.0,1.25,0.0,0.0,0.0,-0.0625,1.0,1.0,1.0,0.4375,0.111,0.111,0.111,0.3,0.3,0.3
56526,2015,2,TB,0.125,0.25,NO,0.43799999999999994,0.375,1,0-1-0,0.0,0.0,0-1-0,0.0,0.0,loss,1.0,-12.0,-12.0,-12.0,-1.4375,-28.0,-28.0,-28.0,-8.3125,1.0,1.0,1.0,1.875,2.0,2.0,2.0,2.0625,0.0,0.0,0.0,-0.8125,-1.0,-1.0,-1.0,-0.5,0.389,0.389,0.389,0.214,0.214,0.214
56528,2015,2,SF,0.5,0.5,PIT,0.688,0.75,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.0,-7.0,-7.0,-7.0,4.25,17.0,17.0,17.0,-2.125,1.0,1.0,1.0,1.3125,1.0,1.0,1.0,1.4375,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.375,0.467,0.467,0.467,0.41700000000000004,0.41700000000000004,0.41700000000000004
56531,2015,2,BAL,0.625,0.5,OAK,0.188,0.375,0,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,0.0,-20.0,-20.0,-20.0,-12.4375,-6.0,-6.0,-6.0,6.6875,2.0,2.0,2.0,1.8125,2.0,2.0,2.0,1.25,-2.0,-2.0,-2.0,-0.9375,-1.0,-1.0,-1.0,0.125,0.25,0.25,0.25,0.154,0.154,0.154
56530,2015,2,MIA,0.5,0.5,JAC,0.188,0.375,0,1-0-0,1.0,1.0,0-1-0,0.0,0.0,win,-1.0,-11.0,-11.0,-11.0,-10.1875,7.0,7.0,7.0,0.9375,3.0,3.0,3.0,1.625,1.0,1.0,1.0,1.4375,-2.0,-2.0,-2.0,-0.375,1.0,1.0,1.0,0.125,0.25,0.25,0.25,0.41700000000000004,0.41700000000000004,0.41700000000000004
56532,2015,2,DAL,0.75,1.0,PHI,0.625,0.75,1,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.2,-2.0,-2.0,-2.0,4.625,1.0,1.0,1.0,7.1875,2.0,2.0,2.0,2.3125,3.0,3.0,3.0,1.5625,0.0,0.0,0.0,-0.5625,-3.0,-3.0,-3.0,0.4375,0.25,0.25,0.25,0.545,0.545,0.545
56533,2015,2,SEA,0.75,0.625,GB,0.75,1.0,0,0-1-0,0.0,0.0,1-0-0,1.0,0.0,win,-1.0,8.0,8.0,8.0,8.625,-3.0,-3.0,-3.0,8.75,0.0,0.0,0.0,0.8125,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.875,2.0,2.0,2.0,0.625,0.6,0.6,0.6,0.42100000000000004,0.42100000000000004,0.42100000000000004
56534,2015,2,NYJ,0.25,0.25,IND,0.688,0.75,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.0,-13.0,-13.0,-13.0,5.5625,21.0,21.0,21.0,-7.375,3.0,3.0,3.0,1.9375,1.0,1.0,1.0,1.5,-3.0,-3.0,-3.0,-0.3125,4.0,4.0,4.0,-0.6875,0.5329999999999999,0.5329999999999999,0.5329999999999999,0.5379999999999999,0.5379999999999999,0.5379999999999999
56535,2015,3,WAS,0.25,0.125,NYG,0.375,0.375,1,1-1-0,0.5,0.0,0-2-0,0.0,0.0,win,0.6000000000000001,-2.5,-2.5,-2.5,-1.25,3.5,3.5,3.5,-8.5625,0.5,0.5,0.5,1.75,1.5,1.5,1.5,1.9375,1.0,1.0,1.0,-0.0625,-1.0,-1.0,-1.0,-0.75,0.508,0.508,0.508,0.465,0.465,0.465
56539,2015,3,ATL,0.375,0.375,DAL,0.75,0.5,0,2-0-0,1.0,1.0,2-0-0,1.0,1.0,loss,0.0,5.5,5.5,5.5,7.1875,3.0,3.0,3.0,-2.25,2.5,2.5,2.5,1.5625,1.0,1.0,1.0,1.4375,-1.0,-1.0,-1.0,0.4375,0.5,0.5,0.5,0.3125,0.439,0.439,0.439,0.467,0.467,0.467
56537,2015,3,NO,0.43799999999999994,0.5,CAR,0.469,0.5,1,0-2-0,0.0,0.0,2-0-0,1.0,1.0,win,0.2,9.0,9.0,9.0,-2.1875,-9.5,-9.5,-9.5,-1.4375,1.0,1.0,1.0,1.4375,2.0,2.0,2.0,1.875,1.0,1.0,1.0,0.1875,-0.5,-0.5,-0.5,-0.8125,0.389,0.389,0.389,0.445,0.445,0.445
56543,2015,3,PHI,0.625,0.5,NYJ,0.25,0.25,0,0-2-0,0.0,0.0,2-0-0,1.0,1.0,loss,0.0,17.0,17.0,17.0,-7.375,-6.0,-6.0,-6.0,4.625,1.0,1.0,1.0,1.5,2.5,2.5,2.5,2.3125,4.0,4.0,4.0,-0.6875,-0.5,-0.5,-0.5,-0.5625,0.435,0.435,0.435,0.21600000000000003,0.21600000000000003,0.21600000000000003
56540,2015,3,TB,0.125,0.25,HOU,0.563,0.625,0,1-1-0,0.5,1.0,0-2-0,0.0,0.0,win,0.0,-7.0,-7.0,-7.0,4.0625,-10.5,-10.5,-10.5,-8.3125,1.5,1.5,1.5,1.375,2.0,2.0,2.0,2.0625,-1.0,-1.0,-1.0,0.75,0.0,0.0,0.0,-0.5,0.23800000000000002,0.23800000000000002,0.23800000000000002,0.285,0.285,0.285
