gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif,home_season_3down_pct,home_3game_3down_pct,home_5game_3down_pct,away_season_3down_pct,away_3game_3down_pct,away_5game_3down_pct
55504,2012,1,DAL,0.5,0.375,NYG,0.563,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.6000000000000001,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,1.375,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.3125,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
55505,2012,1,IND,0.125,0.0,CHI,0.5,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,-11.6875,0.0,0.0,0.0,1.8125,0.0,0.0,0.0,1.8125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0.0
55510,2012,1,JAC,0.313,0.125,MIN,0.188,0.125,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-6.8125,0.0,0.0,0.0,-5.375,0.0,0.0,0.0,1.625,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,-0.1875,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0
55512,2012,1,BUF,0.375,0.125,NYJ,0.5,0.75,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.6000000000000001,0.0,0.0,0.0,0.875,0.0,0.0,0.0,-3.875,0.0,0.0,0.0,2.125,0.0,0.0,0.0,1.875,0.0,0.0,0.0,-0.1875,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
55508,2012,1,MIA,0.375,0.25,HOU,0.625,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,6.4375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,0.0,0.0,0.0
55513,2012,1,NE,0.813,0.75,TEN,0.563,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,10.6875,0.0,0.0,0.0,1.375,0.0,0.0,0.0,1.0625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.0
55507,2012,1,STL,0.125,0.125,DET,0.625,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,5.4375,0.0,0.0,0.0,-13.375,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,-0.3125,0.0,0.0,0.0,0.0,0.0,0.0
55511,2012,1,WAS,0.313,0.375,NO,0.813,1.0,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-4.9375,0.0,0.0,0.0,1.1875,0.0,0.0,0.0,2.1875,0.0,0.0,0.0,-0.1875,0.0,0.0,0.0,-0.875,0.0,0.0,0.0,0.0,0.0,0.0
55506,2012,1,PHI,0.5,0.625,CLE,0.25,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-5.5625,0.0,0.0,0.0,4.25,0.0,0.0,0.0,1.1875,0.0,0.0,0.0,2.375,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,-0.875,0.0,0.0,0.0,0.0,0.0,0.0
55509,2012,1,ATL,0.625,0.5,KC,0.43799999999999994,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-7.875,0.0,0.0,0.0,3.25,0.0,0.0,0.0,1.75,0.0,0.0,0.0,1.3125,0.0,0.0,0.0,-0.125,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
