gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag
56503,2015,1,PIT,0.688,0.625,NE,0.75,0.875,0
56505,2015,1,GB,0.75,0.5,CHI,0.313,0.25,1
56509,2015,1,SEA,0.75,0.625,STL,0.375,0.375,1
56507,2015,1,CAR,0.469,0.438,JAC,0.188,0.375,0
56510,2015,1,MIA,0.5,0.5,WAS,0.25,0.375,0
56504,2015,1,IND,0.688,0.625,BUF,0.563,0.625,0
56508,2015,1,CLE,0.438,0.375,NYJ,0.25,0.25,0
56506,2015,1,KC,0.563,0.375,HOU,0.563,0.625,0
56511,2015,1,NO,0.438,0.5,ARI,0.688,0.875,0
56512,2015,1,DET,0.688,0.5,SD,0.563,0.625,0
56513,2015,1,BAL,0.625,0.5,DEN,0.75,1.0,0
56514,2015,1,CIN,0.656,0.625,OAK,0.188,0.375,0
56515,2015,1,TEN,0.125,0.125,TB,0.125,0.0,0
56516,2015,1,NYG,0.375,0.375,DAL,0.75,0.5,1
56517,2015,1,PHI,0.625,0.5,ATL,0.375,0.375,0
56518,2015,1,MIN,0.438,0.25,SF,0.5,0.5,0
56519,2015,2,DEN,0.75,0.5,KC,0.563,0.75,1
56521,2015,2,HOU,0.563,0.5,CAR,0.469,0.5,0
56520,2015,2,NE,0.75,0.625,BUF,0.563,0.625,1
56523,2015,2,SD,0.563,0.5,CIN,0.656,0.688,0
56524,2015,2,TEN,0.125,0.125,CLE,0.438,0.5,0
56527,2015,2,ATL,0.375,0.375,NYG,0.375,0.375,0
56529,2015,2,STL,0.375,0.375,WAS,0.25,0.375,0
56522,2015,2,ARI,0.688,0.5,CHI,0.313,0.25,0
56525,2015,2,DET,0.688,0.5,MIN,0.438,0.625,1
56526,2015,2,TB,0.125,0.25,NO,0.438,0.375,1
56528,2015,2,SF,0.5,0.5,PIT,0.688,0.75,0
56531,2015,2,BAL,0.625,0.5,OAK,0.188,0.375,0
56530,2015,2,MIA,0.5,0.5,JAC,0.188,0.375,0
56532,2015,2,DAL,0.75,1.0,PHI,0.625,0.75,1
56533,2015,2,SEA,0.75,0.625,GB,0.75,1.0,0
56534,2015,2,NYJ,0.25,0.25,IND,0.688,0.75,0
56535,2015,3,WAS,0.25,0.125,NYG,0.375,0.375,1
56539,2015,3,ATL,0.375,0.375,DAL,0.75,0.5,0
56537,2015,3,NO,0.438,0.5,CAR,0.469,0.5,1
56543,2015,3,PHI,0.625,0.5,NYJ,0.25,0.25,0
56540,2015,3,TB,0.125,0.25,HOU,0.563,0.625,0
56541,2015,3,SD,0.563,0.5,MIN,0.438,0.625,0
56544,2015,3,PIT,0.688,0.625,STL,0.375,0.375,0
56542,2015,3,JAC,0.188,0.0,NE,0.75,0.875,0
56536,2015,3,CIN,0.656,0.625,BAL,0.625,0.75,1
56538,2015,3,OAK,0.188,0.0,CLE,0.438,0.5,0
56545,2015,3,IND,0.688,0.625,TEN,0.125,0.125,1
56546,2015,3,SF,0.5,0.5,ARI,0.688,0.875,1
56548,2015,3,CHI,0.313,0.375,SEA,0.75,0.875,0
56547,2015,3,BUF,0.563,0.5,MIA,0.5,0.5,1
56549,2015,3,DEN,0.75,0.5,DET,0.688,0.875,0
56550,2015,3,KC,0.563,0.375,GB,0.75,1.0,0
56551,2015,4,BAL,0.625,0.5,PIT,0.688,0.75,1
56552,2015,4,NYJ,0.25,0.25,MIA,0.5,0.5,1
56555,2015,4,OAK,0.188,0.0,CHI,0.313,0.25,0
56553,2015,4,HOU,0.563,0.5,ATL,0.375,0.375,0
56556,2015,4,KC,0.563,0.375,CIN,0.656,0.688,0
56557,2015,4,JAC,0.188,0.0,IND,0.688,0.75,1
56559,2015,4,PHI,0.625,0.5,WAS,0.25,0.375,1
56558,2015,4,CAR,0.469,0.438,TB,0.125,0.0,1
56554,2015,4,NYG,0.375,0.375,BUF,0.563,0.625,0
56560,2015,4,CLE,0.438,0.375,SD,0.563,0.625,0
56563,2015,4,GB,0.75,0.5,SF,0.5,0.5,0
56561,2015,4,STL,0.375,0.375,ARI,0.688,0.875,1
56562,2015,4,MIN,0.438,0.25,DEN,0.75,1.0,0
56564,2015,4,DAL,0.75,1.0,NO,0.438,0.375,0
56565,2015,4,DET,0.688,0.5,SEA,0.75,0.875,0
56566,2015,5,IND,0.688,0.625,HOU,0.563,0.625,1
56572,2015,5,NO,0.438,0.5,PHI,0.625,0.75,0
56571,2015,5,CHI,0.313,0.375,KC,0.563,0.75,0
56569,2015,5,SEA,0.75,0.625,CIN,0.656,0.688,0
56567,2015,5,WAS,0.25,0.125,ATL,0.375,0.375,0
