away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result
3-3-0,0.5,0.667,1-6-0,0.143,0.333,loss
2-4-0,0.333,0.5,3-3-0,0.5,0.5,win
3-4-0,0.429,0.75,5-2-0,0.714,1.0,win
4-3-0,0.571,0.667,1-6-0,0.143,0.25,loss
2-5-0,0.286,0.25,1-5-0,0.167,0.0,loss
3-4-0,0.429,0.25,2-5-0,0.286,0.333,loss
5-1-0,0.833,0.5,5-1-0,0.833,1.0,win
0-6-0,0.0,0.0,3-3-0,0.5,0.667,win
5-2-0,0.714,0.667,4-3-0,0.571,0.667,win
5-2-0,0.714,0.5,2-4-0,0.333,1.0,win
2-5-0,0.286,0.0,6-1-0,0.857,0.75,loss
3-4-0,0.429,0.0,3-4-1,0.438,0.5,loss
1-7-0,0.125,0.0,4-2-1,0.643,0.875,win
1-6-0,0.143,0.333,4-3-0,0.571,0.75,win
6-1-0,0.857,0.667,6-2-0,0.75,0.6,loss
5-2-0,0.714,0.333,4-4-0,0.5,0.667,loss
1-7-0,0.125,0.0,4-3-0,0.571,0.667,win
5-3-0,0.625,0.5,4-3-0,0.571,0.333,win
3-5-0,0.375,0.25,3-5-0,0.375,0.333,win
2-5-0,0.286,0.333,4-3-0,0.571,0.667,loss
6-1-0,0.857,0.5,6-2-0,0.75,1.0,win
0-7-0,0.0,0.0,4-3-0,0.571,0.667,win
5-3-0,0.625,0.5,5-3-0,0.625,0.75,win
5-3-0,0.625,0.5,3-4-0,0.429,0.667,loss
5-3-0,0.625,0.333,5-2-1,0.688,0.9,loss
2-6-0,0.25,0.25,5-4-0,0.556,0.75,win
5-3-0,0.625,0.5,5-3-0,0.625,0.5,loss
5-3-0,0.625,0.75,6-2-0,0.75,0.75,win
6-3-0,0.667,1.0,1-8-0,0.111,0.25,loss
4-4-0,0.5,0.5,4-4-0,0.5,1.0,loss
6-3-0,0.667,0.5,1-8-0,0.111,0.2,win
2-6-0,0.25,0.0,1-7-0,0.125,0.0,loss
6-2-0,0.75,0.333,0-8-0,0.0,0.0,loss
3-5-0,0.375,0.5,7-1-0,0.875,1.0,win
3-5-0,0.375,0.25,5-3-0,0.625,0.75,win
3-5-0,0.375,0.6,5-3-0,0.625,1.0,win
3-5-1,0.389,0.375,6-2-0,0.75,1.0,win
5-4-0,0.556,0.75,5-4-0,0.556,0.5,win
3-6-0,0.333,0.2,3-6-1,0.35,0.4,loss
4-5-0,0.444,0.4,3-6-0,0.333,0.0,win
4-5-0,0.444,0.4,6-3-0,0.667,0.8,loss
7-2-0,0.778,0.5,6-3-0,0.667,1.0,win
6-3-0,0.667,0.5,6-3-0,0.667,0.75,win
5-3-1,0.611,0.333,4-5-0,0.444,0.75,loss
5-4-0,0.556,0.6,3-6-0,0.333,0.5,loss
7-2-0,0.778,0.5,3-6-0,0.333,0.25,win
1-8-0,0.111,0.25,3-6-0,0.333,0.5,loss
0-9-0,0.0,0.0,5-4-0,0.556,0.75,win
7-2-0,0.778,0.75,8-1-0,0.889,1.0,win
7-2-0,0.778,0.5,6-3-0,0.667,0.75,loss
6-4-0,0.6,0.4,2-7-0,0.222,0.25,loss
7-3-0,0.7,0.6,0-10-0,0.0,0.0,win
6-4-0,0.6,0.5,4-6-0,0.4,0.5,loss
2-8-0,0.2,0.0,5-5-0,0.5,0.4,win
2-8-0,0.2,0.4,4-6-0,0.4,0.25,win
6-3-1,0.65,0.5,5-5-0,0.5,0.5,loss
1-9-0,0.1,0.0,6-4-0,0.6,0.6,win
7-3-0,0.7,0.4,4-6-0,0.4,0.5,loss
7-3-0,0.7,0.6,8-2-0,0.8,1.0,win
2-8-0,0.2,0.2,7-3-0,0.7,1.0,win
4-6-0,0.4,0.4,6-4-0,0.6,0.8,win
9-1-0,0.9,0.75,6-4-0,0.6,0.8,win
6-4-0,0.6,0.6,7-3-0,0.7,1.0,win
3-7-0,0.3,0.2,6-4-0,0.6,0.5,win
7-3-0,0.7,1.0,3-7-0,0.3,0.4,loss
6-4-0,0.6,0.4,4-6-0,0.4,0.6,loss
5-6-0,0.455,0.5,7-4-0,0.636,0.8,win
8-3-0,0.727,0.4,8-3-0,0.727,0.5,loss
7-4-0,0.636,0.4,7-4-0,0.636,0.6,loss
7-4-0,0.636,0.4,7-4-0,0.636,0.8,loss
7-4-0,0.636,0.6,6-5-0,0.545,0.5,win
2-9-0,0.182,0.167,5-6-0,0.455,0.4,win
3-8-0,0.273,0.167,7-4-0,0.636,0.667,win
3-8-0,0.273,0.2,1-10-0,0.091,0.2,win
3-7-1,0.318,0.3,4-7-0,0.364,0.4,win
4-7-0,0.364,0.2,7-4-0,0.636,0.8,loss
1-10-0,0.091,0.0,4-7-0,0.364,0.4,win
7-3-1,0.682,0.6,2-9-0,0.182,0.0,loss
9-2-0,0.818,0.6,4-7-0,0.364,0.4,win
9-2-0,0.818,0.6,8-3-0,0.727,1.0,win
8-3-0,0.727,0.4,7-4-0,0.636,0.8,loss
6-5-0,0.545,0.5,2-9-0,0.182,0.333,loss
8-4-0,0.667,1.0,5-7-0,0.417,0.4,loss
7-5-0,0.583,0.5,8-3-1,0.708,0.75,loss
8-4-0,0.667,0.6,7-5-0,0.583,0.667,loss
2-10-0,0.167,0.333,8-4-0,0.667,0.833,win
6-6-0,0.5,0.5,2-10-0,0.167,0.333,loss
7-5-0,0.583,0.5,7-5-0,0.583,0.6,loss
2-10-0,0.167,0.0,5-7-0,0.417,0.5,win
3-8-1,0.292,0.25,5-7-0,0.417,0.5,loss
3-9-0,0.25,0.167,2-10-0,0.167,0.2,loss
5-7-0,0.417,0.333,3-9-0,0.25,0.4,loss
7-5-0,0.583,0.5,9-3-0,0.75,1.0,win
7-5-0,0.583,0.6,9-3-0,0.75,1.0,win
7-5-0,0.583,0.667,1-11-0,0.083,0.167,win
8-4-0,0.667,0.5,9-3-0,0.75,1.0,loss
9-3-0,0.75,0.5,8-4-0,0.667,0.833,loss
5-7-0,0.417,0.333,9-3-0,0.75,1.0,win
10-3-0,0.769,0.5,6-7-0,0.462,0.5,loss
8-5-0,0.615,0.571,5-8-0,0.385,0.5,loss
2-11-0,0.154,0.0,8-5-0,0.615,0.667,win
10-3-0,0.769,0.5,7-6-0,0.538,0.571,win
2-11-0,0.154,0.286,4-8-1,0.346,0.333,win
8-4-1,0.654,0.667,7-6-0,0.538,0.571,loss
6-7-0,0.462,0.333,9-4-0,0.692,0.857,win
7-6-0,0.538,0.571,9-4-0,0.692,0.714,win
2-11-0,0.154,0.0,7-6-0,0.538,0.667,win
7-6-0,0.538,0.571,10-3-0,0.769,1.0,win
3-10-0,0.231,0.143,4-9-0,0.308,0.333,win
10-3-0,0.769,0.5,8-5-0,0.615,0.714,loss
2-11-0,0.154,0.0,2-11-0,0.154,0.167,loss
7-6-0,0.538,0.571,9-4-0,0.692,0.833,win
9-4-0,0.692,1.0,9-4-0,0.692,0.857,loss
5-8-0,0.385,0.333,5-8-0,0.385,0.333,loss
2-12-0,0.143,0.143,2-12-0,0.143,0.286,win
9-5-0,0.643,0.5,3-11-0,0.214,0.333,win
8-6-0,0.571,0.5,7-7-0,0.5,0.5,loss
7-7-0,0.5,0.5,5-8-1,0.393,0.429,win
10-4-0,0.714,0.5,5-9-0,0.357,0.286,loss
9-5-0,0.643,0.571,7-7-0,0.5,0.5,win
6-8-0,0.429,0.286,7-7-0,0.5,0.5,win
5-9-0,0.357,0.286,6-8-0,0.429,0.429,loss
11-3-0,0.786,0.571,3-11-0,0.214,0.286,loss
8-6-0,0.571,0.429,9-5-0,0.643,0.667,win
10-4-0,0.714,0.429,2-12-0,0.143,0.0,loss
5-9-0,0.357,0.286,6-8-0,0.429,0.429,loss
10-4-0,0.714,0.667,10-4-0,0.714,0.429,win
8-6-0,0.571,0.5,2-12-0,0.143,0.286,win
10-4-0,0.714,0.571,11-3-0,0.786,1.0,loss
11-3-0,0.786,0.571,9-4-1,0.679,0.643,win
6-8-1,0.433,0.357,6-9-0,0.4,0.429,loss
7-8-0,0.467,0.429,9-6-0,0.6,0.714,win
11-4-0,0.733,0.571,11-4-0,0.733,1.0,win
3-12-0,0.2,0.0,8-7-0,0.533,0.571,win
9-6-0,0.6,0.571,8-7-0,0.533,0.714,win
3-12-0,0.2,0.143,8-7-0,0.533,0.571,loss
5-10-0,0.333,0.429,6-9-0,0.4,0.571,win
8-7-0,0.533,0.429,12-3-0,0.8,1.0,loss
9-6-0,0.6,0.429,6-9-0,0.4,0.429,loss
10-4-1,0.7,0.714,10-5-0,0.667,0.714,win
6-9-0,0.4,0.429,2-13-0,0.133,0.0,loss
10-5-0,0.667,0.571,2-13-0,0.133,0.143,loss
11-4-0,0.733,1.0,4-11-0,0.267,0.429,loss
3-12-0,0.2,0.0,11-4-0,0.733,1.0,win
11-4-0,0.733,0.571,7-8-0,0.467,0.429,win
6-9-0,0.4,0.429,11-4-0,0.733,0.857,win
