gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif
56503,2015,1,PIT,0.688,0.625,NE,0.75,0.875,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,9.6875,0.0,0.0,0.0,4.25
56505,2015,1,GB,0.75,0.5,CHI,0.313,0.25,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-0.2,0.0,0.0,0.0,-7.6875,0.0,0.0,0.0,8.625
56509,2015,1,SEA,0.75,0.625,STL,0.375,0.375,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-0.2,0.0,0.0,0.0,-1.875,0.0,0.0,0.0,8.75
56507,2015,1,CAR,0.469,0.43799999999999994,JAC,0.188,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-10.1875,0.0,0.0,0.0,-2.1875
56510,2015,1,MIA,0.5,0.5,WAS,0.25,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-8.5625,0.0,0.0,0.0,0.9375
56504,2015,1,IND,0.688,0.625,BUF,0.563,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,3.375,0.0,0.0,0.0,5.5625
56508,2015,1,CLE,0.43799999999999994,0.375,NYJ,0.25,0.25,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,-7.375,0.0,0.0,0.0,-2.375
56506,2015,1,KC,0.563,0.375,HOU,0.563,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-1.0,0.0,0.0,0.0,4.0625,0.0,0.0,0.0,4.5
56511,2015,1,NO,0.43799999999999994,0.5,ARI,0.688,0.875,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-1.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,-1.4375
56512,2015,1,DET,0.688,0.5,SD,0.563,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4375
56513,2015,1,BAL,0.625,0.5,DEN,0.75,1.0,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.6875
56514,2015,1,CIN,0.6559999999999999,0.625,OAK,0.188,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-12.4375,0.0,0.0,0.0,1.3125
56515,2015,1,TEN,0.125,0.125,TB,0.125,0.0,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-8.3125,0.0,0.0,0.0,-11.5
56516,2015,1,NYG,0.375,0.375,DAL,0.75,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.6000000000000001,0.0,0.0,0.0,7.1875,0.0,0.0,0.0,-1.25
56517,2015,1,PHI,0.625,0.5,ATL,0.375,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-2.25,0.0,0.0,0.0,4.625
56518,2015,1,MIN,0.43799999999999994,0.25,SF,0.5,0.5,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-2.125,0.0,0.0,0.0,-1.125
56519,2015,2,DEN,0.75,0.5,KC,0.563,0.75,1,1-0-0,1.0,0.0,1-0-0,1.0,0.0,loss,-0.6000000000000001,7.0,7.0,7.0,4.5,6.0,6.0,6.0,8.0
56521,2015,2,HOU,0.563,0.5,CAR,0.469,0.5,0,0-1-0,0.0,0.0,1-0-0,1.0,0.0,win,0.0,11.0,11.0,11.0,-2.1875,-7.0,-7.0,-7.0,4.0625
56520,2015,2,NE,0.75,0.625,BUF,0.563,0.625,1,1-0-0,1.0,0.0,1-0-0,1.0,1.0,loss,-0.6000000000000001,13.0,13.0,13.0,3.375,7.0,7.0,7.0,9.6875
56523,2015,2,SD,0.563,0.5,CIN,0.6559999999999999,0.688,0,1-0-0,1.0,0.0,1-0-0,1.0,0.0,win,0.0,20.0,20.0,20.0,1.3125,5.0,5.0,5.0,0.0
56524,2015,2,TEN,0.125,0.125,CLE,0.43799999999999994,0.5,0,1-0-0,1.0,1.0,0-1-0,0.0,0.0,win,1.0,-21.0,-21.0,-21.0,-2.375,28.0,28.0,28.0,-11.5
56527,2015,2,ATL,0.375,0.375,NYG,0.375,0.375,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,1.0,-1.0,-1.0,-1.0,-1.25,2.0,2.0,2.0,-2.25
56529,2015,2,STL,0.375,0.375,WAS,0.25,0.375,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,-1.0,-7.0,-7.0,-7.0,-8.5625,3.0,3.0,3.0,-1.875
56522,2015,2,ARI,0.688,0.5,CHI,0.313,0.25,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.0,-8.0,-8.0,-8.0,-7.6875,12.0,12.0,12.0,0.6875
56525,2015,2,DET,0.688,0.5,MIN,0.43799999999999994,0.625,1,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,-0.2,-17.0,-17.0,-17.0,-1.125,-5.0,-5.0,-5.0,2.4375
56526,2015,2,TB,0.125,0.25,NO,0.43799999999999994,0.375,1,0-1-0,0.0,0.0,0-1-0,0.0,0.0,loss,1.0,-12.0,-12.0,-12.0,-1.4375,-28.0,-28.0,-28.0,-8.3125
56528,2015,2,SF,0.5,0.5,PIT,0.688,0.75,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.0,-7.0,-7.0,-7.0,4.25,17.0,17.0,17.0,-2.125
56531,2015,2,BAL,0.625,0.5,OAK,0.188,0.375,0,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,0.0,-20.0,-20.0,-20.0,-12.4375,-6.0,-6.0,-6.0,6.6875
56530,2015,2,MIA,0.5,0.5,JAC,0.188,0.375,0,1-0-0,1.0,1.0,0-1-0,0.0,0.0,win,-1.0,-11.0,-11.0,-11.0,-10.1875,7.0,7.0,7.0,0.9375
56532,2015,2,DAL,0.75,1.0,PHI,0.625,0.75,1,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.2,-2.0,-2.0,-2.0,4.625,1.0,1.0,1.0,7.1875
56533,2015,2,SEA,0.75,0.625,GB,0.75,1.0,0,0-1-0,0.0,0.0,1-0-0,1.0,0.0,win,-1.0,8.0,8.0,8.0,8.625,-3.0,-3.0,-3.0,8.75
56534,2015,2,NYJ,0.25,0.25,IND,0.688,0.75,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.0,-13.0,-13.0,-13.0,5.5625,21.0,21.0,21.0,-7.375
56535,2015,3,WAS,0.25,0.125,NYG,0.375,0.375,1,1-1-0,0.5,0.0,0-2-0,0.0,0.0,win,0.6000000000000001,-2.5,-2.5,-2.5,-1.25,3.5,3.5,3.5,-8.5625
56539,2015,3,ATL,0.375,0.375,DAL,0.75,0.5,0,2-0-0,1.0,1.0,2-0-0,1.0,1.0,loss,0.0,5.5,5.5,5.5,7.1875,3.0,3.0,3.0,-2.25
56537,2015,3,NO,0.43799999999999994,0.5,CAR,0.469,0.5,1,0-2-0,0.0,0.0,2-0-0,1.0,1.0,win,0.2,9.0,9.0,9.0,-2.1875,-9.5,-9.5,-9.5,-1.4375
56543,2015,3,PHI,0.625,0.5,NYJ,0.25,0.25,0,0-2-0,0.0,0.0,2-0-0,1.0,1.0,loss,0.0,17.0,17.0,17.0,-7.375,-6.0,-6.0,-6.0,4.625
56540,2015,3,TB,0.125,0.25,HOU,0.563,0.625,0,1-1-0,0.5,1.0,0-2-0,0.0,0.0,win,0.0,-7.0,-7.0,-7.0,4.0625,-10.5,-10.5,-10.5,-8.3125
56541,2015,3,SD,0.563,0.5,MIN,0.43799999999999994,0.625,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,win,0.0,-3.5,-3.5,-3.5,-1.125,0.0,0.0,0.0,0.0
56544,2015,3,PIT,0.688,0.625,STL,0.375,0.375,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,loss,0.0,-5.5,-5.5,-5.5,-1.875,9.0,9.0,9.0,4.25
56542,2015,3,JAC,0.188,0.0,NE,0.75,0.875,0,1-1-0,0.5,0.0,2-0-0,1.0,1.0,win,0.0,7.5,7.5,7.5,9.6875,-4.0,-4.0,-4.0,-10.1875
56536,2015,3,CIN,0.6559999999999999,0.625,BAL,0.625,0.75,1,2-0-0,1.0,1.0,0-2-0,0.0,0.0,loss,-0.6000000000000001,-5.0,-5.0,-5.0,6.6875,12.5,12.5,12.5,1.3125
56538,2015,3,OAK,0.188,0.0,CLE,0.43799999999999994,0.5,0,1-1-0,0.5,0.0,1-1-0,0.5,1.0,loss,1.0,-3.5,-3.5,-3.5,-2.375,-8.0,-8.0,-8.0,-12.4375
56545,2015,3,IND,0.688,0.625,TEN,0.125,0.125,1,0-2-0,0.0,0.0,1-1-0,0.5,0.0,loss,-1.0,7.0,7.0,7.0,-11.5,-13.0,-13.0,-13.0,5.5625
56546,2015,3,SF,0.5,0.5,ARI,0.688,0.875,1,1-1-0,0.5,0.0,2-0-0,1.0,1.0,win,-0.2,18.5,18.5,18.5,0.6875,-4.0,-4.0,-4.0,-2.125
56548,2015,3,CHI,0.313,0.375,SEA,0.75,0.875,0,0-2-0,0.0,0.0,0-2-0,0.0,0.0,win,0.0,-6.5,-6.5,-6.5,8.75,-16.5,-16.5,-16.5,-7.6875
56547,2015,3,BUF,0.563,0.5,MIA,0.5,0.5,1,1-1-0,0.5,0.0,1-1-0,0.5,0.0,loss,-0.6000000000000001,2.0,2.0,2.0,0.9375,2.5,2.5,2.5,3.375
56549,2015,3,DEN,0.75,0.5,DET,0.688,0.875,0,2-0-0,1.0,1.0,0-2-0,0.0,0.0,loss,0.0,-7.5,-7.5,-7.5,2.4375,6.5,6.5,6.5,8.0
56550,2015,3,KC,0.563,0.375,GB,0.75,1.0,0,1-1-0,0.5,1.0,2-0-0,1.0,1.0,win,0.0,9.0,9.0,9.0,8.625,0.0,0.0,0.0,4.5
56551,2015,4,BAL,0.625,0.5,PIT,0.688,0.75,1,0-3-0,0.0,0.0,2-1-0,0.667,1.0,loss,-0.33399999999999996,8.0,8.0,8.0,4.25,-4.667,-4.667,-4.667,6.6875
56552,2015,4,NYJ,0.25,0.25,MIA,0.5,0.5,1,2-1-0,0.667,1.0,1-2-0,0.33299999999999996,0.0,loss,-0.2,-7.667000000000001,-7.667000000000001,-7.667000000000001,0.9375,9.0,9.0,9.0,-7.375
56555,2015,4,OAK,0.188,0.0,CHI,0.313,0.25,0,2-1-0,0.667,1.0,0-3-0,0.0,0.0,win,0.0,-19.667,-19.667,-19.667,-7.6875,-3.0,-3.0,-3.0,-12.4375
56553,2015,4,HOU,0.563,0.5,ATL,0.375,0.375,0,1-2-0,0.33299999999999996,0.0,3-0-0,1.0,1.0,win,0.0,5.667000000000001,5.667000000000001,5.667000000000001,-2.25,-1.3330000000000002,-1.3330000000000002,-1.3330000000000002,4.0625
56556,2015,4,KC,0.563,0.375,CIN,0.6559999999999999,0.688,0,1-2-0,0.33299999999999996,0.5,3-0-0,1.0,1.0,win,0.0,9.667,9.667,9.667,1.3125,-3.333,-3.333,-3.333,4.5
56557,2015,4,JAC,0.188,0.0,IND,0.688,0.75,1,1-2-0,0.33299999999999996,0.0,1-2-0,0.33299999999999996,0.0,win,0.6000000000000001,-8.0,-8.0,-8.0,5.5625,-14.0,-14.0,-14.0,-10.1875
56559,2015,4,PHI,0.625,0.5,WAS,0.25,0.375,1,1-2-0,0.33299999999999996,0.5,1-2-0,0.33299999999999996,0.5,win,-0.2,-1.3330000000000002,-1.3330000000000002,-1.3330000000000002,-8.5625,-1.6669999999999998,-1.6669999999999998,-1.6669999999999998,4.625
56558,2015,4,CAR,0.469,0.43799999999999994,TB,0.125,0.0,1,3-0-0,1.0,1.0,1-2-0,0.33299999999999996,0.0,loss,-1.0,-10.333,-10.333,-10.333,-8.3125,7.667000000000001,7.667000000000001,7.667000000000001,-2.1875
56554,2015,4,NYG,0.375,0.375,BUF,0.563,0.625,0,1-2-0,0.33299999999999996,0.0,2-1-0,0.667,0.5,loss,0.0,10.667,10.667,10.667,3.375,2.0,2.0,2.0,-1.25
