gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif
55504,2012,1,DAL,0.5,0.375,NYG,0.563,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.6000000000000001,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,1.375
55505,2012,1,IND,0.125,0.0,CHI,0.5,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,-11.6875
55510,2012,1,JAC,0.313,0.125,MIN,0.188,0.125,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-6.8125,0.0,0.0,0.0,-5.375
55512,2012,1,BUF,0.375,0.125,NYJ,0.5,0.75,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.6000000000000001,0.0,0.0,0.0,0.875,0.0,0.0,0.0,-3.875
55508,2012,1,MIA,0.375,0.25,HOU,0.625,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,6.4375,0.0,0.0,0.0,1.0
55513,2012,1,NE,0.813,0.75,TEN,0.563,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,10.6875
55507,2012,1,STL,0.125,0.125,DET,0.625,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,5.4375,0.0,0.0,0.0,-13.375
55511,2012,1,WAS,0.313,0.375,NO,0.813,1.0,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-4.9375
55506,2012,1,PHI,0.5,0.625,CLE,0.25,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-5.5625,0.0,0.0,0.0,4.25
55509,2012,1,ATL,0.625,0.5,KC,0.43799999999999994,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-7.875,0.0,0.0,0.0,3.25
55515,2012,1,SF,0.813,0.75,GB,0.938,1.0,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,12.5625,0.0,0.0,0.0,9.4375
55514,2012,1,SEA,0.43799999999999994,0.375,ARI,0.5,0.75,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-0.6000000000000001,0.0,0.0,0.0,-2.25,0.0,0.0,0.0,0.375
55516,2012,1,CAR,0.375,0.375,TB,0.25,0.375,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.2,0.0,0.0,0.0,-12.9375,0.0,0.0,0.0,-1.4375
55517,2012,1,PIT,0.75,0.625,DEN,0.5,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,-5.0625,0.0,0.0,0.0,6.125
55518,2012,1,CIN,0.563,0.625,BAL,0.75,1.0,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.2,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.3125
55519,2012,1,SD,0.5,0.375,OAK,0.5,0.375,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.2,0.0,0.0,0.0,-4.625,0.0,0.0,0.0,1.8125
55520,2012,2,CHI,0.5,0.375,GB,0.938,1.0,1,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.6659999999999999,-8.0,-8.0,-8.0,12.5625,20.0,20.0,20.0,0.75
55527,2012,2,TB,0.25,0.125,NYG,0.563,0.5,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.0,-7.0,-7.0,-7.0,-0.375,6.0,6.0,6.0,-12.9375
55522,2012,2,NO,0.813,0.625,CAR,0.375,0.375,1,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,-0.6000000000000001,-6.0,-6.0,-6.0,-1.4375,-8.0,-8.0,-8.0,13.0
55526,2012,2,ARI,0.5,0.25,NE,0.813,0.875,0,1-0-0,1.0,0.0,1-0-0,1.0,0.0,loss,0.0,21.0,21.0,21.0,10.6875,4.0,4.0,4.0,-2.25
