result,gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif,home_season_3down_pct,home_3game_3down_pct,home_5game_3down_pct,away_season_3down_pct,away_3game_3down_pct,away_5game_3down_pct
loss,56304,2014,10,CLE,0.25,0.125,CIN,0.688,1.0,1,5-3-0,0.625,0.333,5-2-1,0.688,0.9,0.2,0.875,-4.667,-8.0,7.8125,2.0,-1.0,3.8,-6.125,1.25,1.3330000000000002,1.8,1.875,0.875,1.6669999999999998,1.4,1.8125,0.375,0.333,-0.6,0.0625,0.75,1.0,0.4,-0.5,0.348,0.37,0.34700000000000003,0.316,0.253,0.29100000000000004
win,56305,2014,10,TEN,0.438,0.5,BAL,0.5,0.75,0,2-6-0,0.25,0.25,5-4-0,0.556,0.75,0.0,7.332999999999998,-0.333,4.6,-2.0,-8.125,-4.667,-7.8,-1.1875,1.556,2.333,2.2,1.8125,1.375,1.3330000000000002,1.4,1.5625,-0.111,-1.0,-0.4,-0.3125,0.0,0.0,-0.2,0.0,0.4,0.327,0.322,0.275,0.238,0.279
loss,56306,2014,10,KC,0.688,0.75,BUF,0.375,0.5,0,5-3-0,0.625,0.5,5-3-0,0.625,0.5,0.0,1.625,2.0,0.6,-3.0625,7.75,14.667,13.2,7.8125,1.375,2.333,2.0,1.6875,0.875,0.333,0.4,1.125,0.875,0.333,0.6,0.1875,-0.25,0.333,0.6,1.125,0.355,0.3720000000000001,0.348,0.51,0.5379999999999999,0.5489999999999999
win,56307,2014,10,MIA,0.5,0.5,DET,0.438,0.5,0,5-3-0,0.625,0.75,6-2-0,0.75,0.75,0.0,4.5,5.332999999999998,4.0,1.1875,7.5,21.333,17.0,-1.125,1.375,1.0,1.0,2.125,1.5,0.333,1.4,1.625,0.125,1.0,0.8,-0.75,0.75,3.0,1.4,-0.125,0.406,0.359,0.314,0.416,0.451,0.441
loss,56308,2014,10,DAL,0.5,0.375,JAC,0.25,0.125,0,6-3-0,0.667,1.0,1-8-0,0.111,0.25,0.0,-12.222,-2.0,-3.2,-12.625,3.889,-1.3330000000000002,1.2,0.4375,2.111,2.333,2.2,1.6875,1.889,1.6669999999999998,2.0,1.25,-1.0,-0.333,-0.8,-0.375,-0.333,-0.333,-0.8,0.5,0.361,0.349,0.366,0.52,0.444,0.498
loss,56309,2014,10,SF,0.75,0.75,NO,0.688,1.0,0,4-4-0,0.5,0.5,4-4-0,0.5,1.0,0.0,3.625,12.667,4.6,6.875,-1.25,-4.667,-0.8,8.375,1.875,1.6669999999999998,2.2,1.1875,1.125,1.3330000000000002,1.0,1.125,-0.75,0.667,-0.6,0.0,0.5,-0.333,0.6,0.75,0.512,0.463,0.45,0.411,0.303,0.341
win,56310,2014,10,PIT,0.5,0.375,NYJ,0.5,0.75,0,6-3-0,0.667,0.5,1-8-0,0.111,0.2,-1.0,-10.889,-12.0,-16.2,-6.0625,3.222,14.667,6.2,0.5625,2.0,2.0,2.0,1.8125,1.222,1.3330000000000002,1.2,1.5,-1.6669999999999998,-2.0,-1.8,-0.9375,0.222,1.0,0.8,-0.25,0.396,0.457,0.362,0.423,0.467,0.455
loss,56311,2014,10,ATL,0.25,0.125,TB,0.25,0.375,1,2-6-0,0.25,0.0,1-7-0,0.125,0.0,-0.2,-11.875,-14.0,-9.0,-6.3125,-3.625,-12.333,-12.0,-5.625,2.0,1.6669999999999998,1.4,1.25,1.75,1.0,1.2,1.75,-0.5,-0.667,0.0,0.6875,-0.125,0.333,0.0,-0.4375,0.336,0.194,0.29100000000000004,0.4270000000000001,0.358,0.379
loss,56312,2014,10,DEN,0.813,0.75,OAK,0.25,0.375,1,6-2-0,0.75,0.333,0-8-0,0.0,0.0,-1.0,-10.25,-9.0,-10.8,-8.1875,7.5,5.667000000000002,10.4,12.9375,2.0,2.0,2.2,1.875,0.75,0.667,0.8,1.625,-1.25,-1.6669999999999998,-1.4,-0.5,0.375,0.667,0.4,0.0,0.36,0.327,0.405,0.446,0.481,0.464
win,56313,2014,10,STL,0.438,0.25,ARI,0.625,0.75,1,3-5-0,0.375,0.5,7-1-0,0.875,1.0,-0.2,4.5,8.667,3.0,3.4375,-8.875,-7.332999999999998,-8.4,-1.0,0.75,1.0,0.6,1.9375,1.625,1.0,1.4,1.3125,1.25,0.667,1.6,-0.0625,-0.375,0.0,0.0,0.5,0.459,0.537,0.442,0.408,0.35,0.381
win,56314,2014,10,NYG,0.438,0.375,SEA,0.813,0.875,0,3-5-0,0.375,0.25,5-3-0,0.625,0.75,1.0,3.5,2.667,2.2,11.625,-3.875,-17.667,-2.4,-5.5625,0.75,0.667,0.6,1.1875,1.75,1.3330000000000002,1.4,2.75,0.5,1.0,0.8,1.25,-0.125,-0.333,0.6,-0.9375,0.393,0.418,0.399,0.391,0.259,0.413
win,56315,2014,10,CHI,0.5,0.375,GB,0.531,0.563,1,3-5-0,0.375,0.6,5-3-0,0.625,1.0,0.6000000000000001,3.875,1.0,11.2,-0.6875,-5.25,-9.0,-11.0,-2.0625,0.875,1.0,0.8,1.5625,1.875,1.6669999999999998,2.2,1.4375,1.0,0.667,1.2,-0.1875,-0.375,-1.3330000000000002,-1.4,0.3125,0.405,0.326,0.368,0.436,0.416,0.454
win,56316,2014,10,CAR,0.75,0.625,PHI,0.625,0.5,0,3-5-1,0.389,0.375,6-2-0,0.75,1.0,-1.0,7.125,11.0,6.8,3.75,-6.556,-14.333,-7.2,7.8125,2.625,3.0,3.2,1.25,1.3330000000000002,1.6669999999999998,1.8,1.1875,-1.25,-2.0,-1.8,0.6875,0.444,-0.333,0.2,0.6875,0.43,0.44,0.448,0.389,0.321,0.37
win,56317,2014,11,BUF,0.375,0.25,MIA,0.5,0.5,1,5-4-0,0.556,0.75,5-4-0,0.556,0.5,-0.6000000000000001,6.222,15.667,11.4,-1.125,1.0,5.667000000000002,1.0,-3.0625,1.556,1.0,1.2,1.625,1.556,2.333,2.2,1.6875,0.556,1.6669999999999998,1.0,-0.125,0.556,0.667,0.0,0.1875,0.409,0.448,0.422,0.364,0.34,0.373
loss,56318,2014,11,ATL,0.25,0.125,CAR,0.75,0.875,1,3-6-0,0.333,0.2,3-6-1,0.35,0.4,0.6000000000000001,-8.3,-15.333,-13.4,7.8125,-2.111,-4.333,-7.4,-5.625,1.7,3.0,2.2,1.1875,1.556,0.667,0.8,1.75,-0.1,-1.6669999999999998,-1.0,0.6875,0.222,1.6669999999999998,1.0,-0.4375,0.4,0.376,0.387,0.435,0.422,0.34600000000000003
