result,gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif,home_season_3down_pct,home_3game_3down_pct,home_5game_3down_pct,away_season_3down_pct,away_3game_3down_pct,away_5game_3down_pct
loss,57367,2017,10,SEA,0.6559999999999999,0.438,ARI,0.469,0.563,1,5-3-0,0.625,0.5,4-4-0,0.5,0.667,0.4,-7.75,-6.0,-8.4,3.5,5.0,5.667000000000002,10.2,3.875,1.625,2.0,1.6,1.75,1.125,1.3330000000000002,1.6,1.1875,-0.5,-0.333,-0.2,0.0,0.625,0.333,0.8,0.0,0.3720000000000001,0.377,0.34600000000000003,0.416,0.412,0.475
loss,57368,2017,10,NO,0.438,0.375,BUF,0.438,0.5,0,6-2-0,0.75,0.75,5-3-0,0.625,1.0,0.0,3.125,3.333,2.4,1.3125,8.25,12.333,14.2,0.9375,0.75,1.3330000000000002,1.0,0.75,1.125,2.0,1.8,1.5,1.375,1.0,1.6,0.375,0.375,-1.0,0.0,-0.1875,0.423,0.479,0.446,0.39,0.431,0.384
loss,57369,2017,10,GB,0.625,0.5,CHI,0.188,0.375,1,4-4-0,0.5,0.333,3-5-0,0.375,0.5,-0.6000000000000001,-4.625,3.0,-3.0,-7.5,-1.25,-11.667,-2.0,2.75,1.875,1.0,1.8,1.9375,1.125,1.3330000000000002,1.0,1.0625,-0.5,1.6669999999999998,-0.2,-1.25,0.625,0.333,1.4,0.5,0.354,0.316,0.32299999999999995,0.4,0.274,0.35
win,57370,2017,10,CLE,0.063,0.0,DET,0.563,0.75,0,0-8-0,0.0,0.0,4-4-0,0.5,0.25,0.0,2.5,-2.0,-0.4,-0.75,-10.375,-12.0,-12.6,-11.75,1.25,2.333,1.6,0.9375,2.625,2.667,2.4,1.5625,0.75,-0.667,0.0,-0.0625,-1.5,-1.6669999999999998,-1.4,-0.75,0.387,0.4270000000000001,0.38,0.287,0.251,0.299
loss,57371,2017,10,PIT,0.688,0.625,IND,0.5,0.5,0,6-2-0,0.75,0.8,3-6-0,0.333,0.5,-1.0,-10.889,-7.332999999999998,-6.6,1.1875,4.5,8.667,4.4,4.5,1.222,0.667,0.8,1.375,1.5,1.0,1.8,1.125,0.222,1.0,0.4,-0.3125,-0.125,0.0,-0.4,0.3125,0.354,0.373,0.368,0.37,0.349,0.396
win,57372,2017,10,LAC,0.313,0.25,JAX,0.188,0.25,0,3-5-0,0.375,0.5,5-3-0,0.625,0.5,0.0,11.125,11.0,10.2,-4.625,-0.25,4.667,3.4,-0.8125,1.125,1.3330000000000002,1.2,1.75,1.0,0.667,0.8,2.1875,0.875,-1.0,0.4,-0.875,0.125,1.0,0.6,-0.4375,0.404,0.502,0.454,0.35100000000000003,0.326,0.385
win,57373,2017,10,NYJ,0.313,0.375,TB,0.563,0.5,0,4-5-0,0.444,0.25,2-6-0,0.25,0.5,0.0,-5.0,-12.333,-9.4,-0.9375,-1.778,1.6669999999999998,0.2,-8.375,1.625,2.333,1.8,1.6875,1.556,1.0,1.4,2.125,-0.125,-1.0,-0.2,0.125,0.222,1.3330000000000002,1.0,-1.25,0.35,0.34,0.366,0.391,0.375,0.398
win,57374,2017,10,CIN,0.406,0.25,TEN,0.563,0.625,0,3-5-0,0.375,0.25,5-3-0,0.625,0.75,0.0,-1.5,6.667000000000002,-5.8,0.1875,-3.625,-10.0,-0.4,0.5,1.375,1.0,2.0,1.125,1.875,1.3330000000000002,1.6,1.0625,0.125,1.0,-0.2,0.0,-1.125,-0.667,-0.8,0.1875,0.335,0.343,0.287,0.327,0.254,0.341
loss,57375,2017,10,MIN,0.5,0.375,WAS,0.531,0.5,0,6-2-0,0.75,0.667,4-4-0,0.5,0.5,1.0,-2.125,-7.0,-5.6,0.8125,5.5,12.667,6.8,1.25,1.75,1.6669999999999998,1.6,1.3125,1.0,1.3330000000000002,1.4,1.0,-0.25,-0.333,-0.6,0.0,0.25,0.333,0.0,0.6875,0.3670000000000001,0.316,0.363,0.424,0.392,0.375
win,57376,2017,10,HOU,0.563,0.25,LA,0.25,0.125,0,3-5-0,0.375,0.333,6-2-0,0.75,0.5,0.0,13.5,25.667,15.2,-10.625,2.625,2.333,8.4,-3.0625,1.5,0.667,1.4,1.8125,1.625,1.6669999999999998,1.4,1.5,0.375,1.3330000000000002,0.6,-0.625,-0.125,0.0,0.6,-0.4375,0.481,0.4970000000000001,0.482,0.348,0.29,0.334
