result,gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif,home_season_3down_pct,home_3game_3down_pct,home_5game_3down_pct,away_season_3down_pct,away_3game_3down_pct,away_5game_3down_pct
win,55970,2013,10,WAS,0.625,0.625,MIN,0.625,0.875,0,3-5-0,0.375,0.25,1-7-0,0.125,0.25,0.0,-8.25,-11.0,-10.2,1.9375,-6.25,-4.667,-3.8,3.0,2.125,1.6669999999999998,1.4,1.4375,2.0,2.333,2.0,0.875,-0.375,-1.0,-0.6,-0.0625,-0.25,0.0,0.0,1.0625,0.366,0.341,0.363,0.428,0.5579999999999999,0.4970000000000001
loss,55971,2013,10,SEA,0.688,0.375,ATL,0.813,0.875,0,8-1-0,0.889,0.8,2-6-0,0.25,0.5,1.0,-5.25,-10.0,-7.8,7.5,9.222,6.667000000000002,4.2,10.4375,1.875,3.0,2.2,1.125,1.6669999999999998,1.6669999999999998,1.8,1.125,-0.875,-1.6669999999999998,-1.4,0.8125,0.667,-0.333,-0.2,0.75,0.416,0.378,0.412,0.375,0.477,0.397
win,55972,2013,10,CIN,0.625,0.75,BAL,0.625,0.75,1,6-3-0,0.667,0.4,3-5-0,0.375,0.667,0.2,-0.5,-3.667,-2.2,3.375,5.667000000000002,13.667,10.2,4.4375,1.625,1.0,2.0,1.0,1.889,1.6669999999999998,1.6,1.625,-0.375,0.333,-0.6,0.5625,-0.444,-0.667,-0.4,0.25,0.376,0.36,0.329,0.4370000000000001,0.482,0.447
loss,55973,2013,10,DET,0.25,0.25,CHI,0.625,0.625,1,5-3-0,0.625,0.5,5-3-0,0.625,0.75,0.2,1.75,3.0,-1.4,6.125,2.5,4.0,1.4,-4.0625,1.375,0.333,1.2,1.5,1.5,1.6669999999999998,1.6,2.0625,1.0,1.3330000000000002,0.4,1.25,0.125,-1.0,-0.4,-1.0,0.37,0.378,0.322,0.395,0.509,0.439
loss,55974,2013,10,PHI,0.25,0.25,GB,0.688,0.875,0,4-5-0,0.444,0.8,5-3-0,0.625,0.75,0.0,5.875,8.0,7.8,6.0625,-0.667,2.333,6.6,-10.25,1.25,0.333,0.6,1.0,1.6669999999999998,2.0,1.4,2.3125,-0.375,0.0,-0.2,0.4375,0.0,-0.333,0.6,-1.5,0.409,0.457,0.4320000000000001,0.396,0.29100000000000004,0.369
loss,55975,2013,10,STL,0.469,0.438,IND,0.688,0.875,0,3-6-0,0.333,0.25,6-2-0,0.75,0.75,0.0,7.375,-0.333,7.8,-1.875,-4.444,-9.0,2.4,-3.0625,0.75,0.667,1.0,1.6875,1.444,2.333,1.4,1.375,0.875,0.333,0.6,-0.75,0.111,-1.6669999999999998,0.4,-0.0625,0.416,0.267,0.369,0.325,0.35,0.38
win,55976,2013,10,OAK,0.25,0.125,NYG,0.563,0.75,0,3-5-0,0.375,0.0,2-6-0,0.25,0.333,0.0,-10.25,6.0,-4.2,5.3125,-6.625,-14.333,-8.6,-9.5625,3.125,1.6669999999999998,2.4,1.3125,1.625,2.667,2.0,1.625,-1.5,0.333,-0.6,0.875,-0.25,-1.6669999999999998,-0.2,-0.5,0.34600000000000003,0.475,0.376,0.353,0.319,0.317
win,55977,2013,10,BUF,0.375,0.25,PIT,0.5,0.625,0,3-6-0,0.333,0.25,2-6-0,0.25,0.333,0.0,-6.5,-8.0,-3.6,1.375,-5.222,-8.667,-8.4,-5.6875,2.125,2.0,1.6,1.875,1.778,2.333,1.8,2.125,-1.375,-0.667,-0.4,-0.625,-0.111,-1.3330000000000002,-1.0,-0.8125,0.3720000000000001,0.412,0.429,0.354,0.389,0.39
loss,55978,2013,10,JAC,0.125,0.125,TEN,0.375,0.5,1,0-8-0,0.0,0.0,4-4-0,0.5,0.5,0.2,0.75,-4.667,0.4,-8.8125,-22.25,-22.0,-22.8,-11.8125,1.125,2.0,1.8,1.75,1.875,1.3330000000000002,2.0,1.5625,0.75,-0.667,0.2,-0.25,-0.875,0.0,-1.0,-0.125,0.399,0.424,0.423,0.289,0.305,0.27
loss,55979,2013,10,CAR,0.438,0.5,SF,0.7190000000000001,0.813,0,5-3-0,0.625,0.5,6-2-0,0.75,0.75,1.0,9.125,19.333,22.6,7.75,12.25,19.0,13.2,-0.375,1.5,1.0,1.0,1.0,1.375,0.667,1.2,1.3125,0.5,1.3330000000000002,1.6,0.5625,1.0,2.0,1.4,0.125,0.402,0.484,0.443,0.459,0.403,0.442
