gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag
56170,2014,1,GB,0.531,0.5,SEA,0.813,0.875,0
56171,2014,1,NO,0.688,0.375,ATL,0.25,0.375,1
56172,2014,1,CIN,0.688,0.375,BAL,0.5,0.75,1
56173,2014,1,BUF,0.375,0.25,CHI,0.5,0.625,0
56174,2014,1,WAS,0.188,0.125,HOU,0.125,0.125,0
56175,2014,1,TEN,0.438,0.5,KC,0.688,0.625,0
56176,2014,1,NE,0.75,0.5,MIA,0.5,0.5,1
56177,2014,1,OAK,0.25,0.125,NYJ,0.5,0.75,0
56178,2014,1,JAC,0.25,0.375,PHI,0.625,0.5,0
56179,2014,1,CLE,0.25,0.125,PIT,0.5,0.625,1
56180,2014,1,MIN,0.344,0.063,STL,0.438,0.625,0
56181,2014,1,SF,0.75,0.75,DAL,0.5,0.625,0
56182,2014,1,CAR,0.75,0.625,TB,0.25,0.375,1
56183,2014,1,IND,0.688,0.625,DEN,0.813,0.875,0
56184,2014,1,NYG,0.438,0.375,DET,0.438,0.5,0
56185,2014,1,SD,0.563,0.5,ARI,0.625,0.75,0
56186,2014,2,PIT,0.5,0.375,BAL,0.5,0.75,1
56187,2014,2,MIA,0.5,0.5,BUF,0.375,0.5,1
56188,2014,2,DET,0.438,0.375,CAR,0.75,0.875,0
56189,2014,2,ATL,0.25,0.125,CIN,0.688,1.0,0
56190,2014,2,NO,0.688,0.375,CLE,0.25,0.375,0
56191,2014,2,NE,0.75,0.5,MIN,0.344,0.625,0
56192,2014,2,ARI,0.625,0.5,NYG,0.438,0.5,0
56193,2014,2,DAL,0.5,0.375,TEN,0.438,0.375,0
56194,2014,2,JAC,0.25,0.375,WAS,0.188,0.25,0
56195,2014,2,SEA,0.813,0.75,SD,0.563,0.625,0
56196,2014,2,STL,0.438,0.25,TB,0.25,0.375,0
56197,2014,2,KC,0.688,0.75,DEN,0.813,0.875,1
56198,2014,2,NYJ,0.5,0.25,GB,0.531,0.563,0
56199,2014,2,HOU,0.125,0.125,OAK,0.25,0.375,0
56200,2014,2,CHI,0.5,0.375,SF,0.75,0.75,0
56201,2014,2,PHI,0.625,0.75,IND,0.688,0.75,0
56202,2014,3,TB,0.25,0.125,ATL,0.25,0.375,1
56203,2014,3,SD,0.563,0.5,BUF,0.375,0.5,0
56204,2014,3,TEN,0.438,0.5,CIN,0.688,1.0,0
56205,2014,3,BAL,0.5,0.25,CLE,0.25,0.375,1
56206,2014,3,GB,0.531,0.5,DET,0.438,0.5,1
56207,2014,3,IND,0.688,0.625,JAC,0.25,0.125,1
56208,2014,3,OAK,0.25,0.125,NE,0.75,1.0,0
56209,2014,3,MIN,0.344,0.063,NO,0.688,1.0,0
56210,2014,3,HOU,0.125,0.125,NYG,0.438,0.5,0
56211,2014,3,WAS,0.188,0.125,PHI,0.625,0.5,1
56212,2014,3,DAL,0.5,0.375,STL,0.438,0.625,0
56213,2014,3,SF,0.75,0.75,ARI,0.625,0.75,1
56214,2014,3,KC,0.688,0.75,MIA,0.5,0.5,0
56215,2014,3,DEN,0.813,0.75,SEA,0.813,0.875,0
56216,2014,3,PIT,0.5,0.375,CAR,0.75,0.875,0
56217,2014,3,CHI,0.5,0.375,NYJ,0.5,0.75,0
56218,2014,4,NYG,0.438,0.375,WAS,0.188,0.25,1
56219,2014,4,CAR,0.75,0.625,BAL,0.5,0.75,0
56220,2014,4,GB,0.531,0.5,CHI,0.5,0.625,1
56221,2014,4,BUF,0.375,0.25,HOU,0.125,0.125,0
56222,2014,4,TEN,0.438,0.5,IND,0.688,0.75,1
56227,2014,4,ATL,0.25,0.125,MIN,0.344,0.625,0
56223,2014,4,DET,0.438,0.375,NYJ,0.5,0.75,0
56224,2014,4,MIA,0.5,0.5,OAK,0.25,0.375,0
56225,2014,4,TB,0.25,0.125,PIT,0.5,0.625,0
56226,2014,4,JAC,0.25,0.375,SD,0.563,0.625,0
56228,2014,4,PHI,0.625,0.75,SF,0.75,0.75,0
56229,2014,4,NO,0.688,0.375,DAL,0.5,0.625,0
56230,2014,4,NE,0.75,0.5,KC,0.688,0.625,0
56231,2014,5,MIN,0.344,0.063,GB,0.531,0.563,1
56232,2014,5,CHI,0.5,0.375,CAR,0.75,0.875,0
56233,2014,5,HOU,0.125,0.125,DAL,0.5,0.625,0
56234,2014,5,BUF,0.375,0.25,DET,0.438,0.5,0
56235,2014,5,BAL,0.5,0.25,IND,0.688,0.75,0
56236,2014,5,PIT,0.5,0.375,JAC,0.25,0.125,0
56237,2014,5,TB,0.25,0.125,NO,0.688,1.0,1
56238,2014,5,ATL,0.25,0.125,NYG,0.438,0.5,0
56239,2014,5,STL,0.438,0.25,PHI,0.625,0.5,0
56240,2014,5,CLE,0.25,0.125,TEN,0.438,0.375,0
56241,2014,5,ARI,0.625,0.5,DEN,0.813,0.875,0
56242,2014,5,NYJ,0.5,0.25,SD,0.563,0.625,0
56243,2014,5,KC,0.688,0.75,SF,0.75,0.75,0
56244,2014,5,CIN,0.688,0.375,NE,0.75,1.0,0
56245,2014,5,SEA,0.813,0.75,WAS,0.188,0.25,0
56246,2014,6,IND,0.688,0.625,HOU,0.125,0.125,1
56247,2014,6,CHI,0.5,0.375,ATL,0.25,0.375,0
56248,2014,6,NE,0.75,0.5,BUF,0.375,0.5,1
56249,2014,6,CAR,0.75,0.625,CIN,0.688,1.0,0
56250,2014,6,PIT,0.5,0.375,CLE,0.25,0.375,1
56251,2014,6,GB,0.531,0.5,MIA,0.5,0.5,0
56252,2014,6,DET,0.438,0.375,MIN,0.344,0.625,1
56253,2014,6,DEN,0.813,0.75,NYJ,0.5,0.75,0
